<1556798499> DEBUG: msg: VkClient: sent request: https://api.vk.com/method/groups.getLongPollServer?v=5.90&access_token=d378d1136fb1ec1e8ec80b516656adbf536a3512e74a22d9c106f42389cdb8b654ab109fa286a8393f5c4
<1556799774> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799774> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799774> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799774> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799774> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799774> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799775> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799775> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799775> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799775> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799775> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799775> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799775> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799775> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799775> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799775> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799775> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799775> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799775> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799775> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799776> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799776> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799776> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799776> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799776> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799776> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799776> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799776> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799776> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799776> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799776> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799776> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799777> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799777> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799777> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799777> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799777> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799777> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799777> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799777> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799777> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799777> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799777> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799777> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799778> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799778> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799778> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799778> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799778> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799778> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799778> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799778> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799778> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799778> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799779> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799779> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799779> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799779> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799779> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799779> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799779> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799779> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799779> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799779> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799779> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799779> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799780> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799780> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799780> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799780> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799780> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799780> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799780> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799780> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799780> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799780> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799780> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799780> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799780> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799780> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799781> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799781> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799781> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799781> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799781> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799781> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799781> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799781> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799781> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799781> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799782> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

<1556799782> DEBUG: msg: VkClient: sent request: https://lp.vk.com/wh180945331?act=a_check&key=da2fba75cc41fa6fca27992f56d61f6c14b97d8c&ts=4441
<1556799782> DEBUG: msg: VkClient: got response: {"ts":"4441","updates":[]}

